Function,TotalNumber,N,ExecutionTime
Main,1000,550,0.026656
Main,1000,560,0.034533
Main,1000,570,0.024101
Main,1000,580,0.024631
Main,1000,590,0.016513
Main,1000,600,0.021550
Main,1000,610,0.025370
Main,1000,620,0.042680
Main,1000,630,0.026373
Main,1000,640,0.025467
Main,1000,650,0.039548
Main,1000,660,0.023702
Main,1000,670,0.017365
Main,1000,680,0.018154
Main,1000,690,0.015709
Main,1000,700,0.025432
Main,1000,710,0.022929
Main,1000,720,0.022828
Main,1000,730,0.030308
Main,1000,740,0.041486
Main,1000,750,0.029430
Main,1000,760,0.021262
Main,1000,770,0.024970
Main,1000,780,0.020725
Main,1000,790,0.022761
Main,1000,800,0.026101
Main,1000,810,0.022792
Main,1000,820,0.045554
Main,1000,830,0.019428
Main,1000,840,0.019930
Main,1000,850,0.025630
Main,1000,860,0.023992
Main,1000,870,0.034707
Main,1000,880,0.022690
Main,1000,890,0.021105
Main,1000,900,0.021796
Main,1000,910,0.016821
Main,1000,920,0.019467
Main,1000,930,0.017768
Main,1000,940,0.025430
Main,1000,950,0.023811
Main,1000,960,0.024656
Main,1000,970,0.031711
