Function,TotalNumber,N,ExecutionTime
Main,1000,360,0.002906
Main,1000,370,0.002892
Main,1000,380,0.002912
Main,1000,390,0.002915
Main,1000,400,0.002928
Main,1000,410,0.002938
Main,1000,420,0.002933
Main,1000,430,0.002937
Main,1000,440,0.002934
Main,1000,450,0.002924
Main,1000,460,0.002958
Main,1000,470,0.002955
Main,1000,480,0.002973
Main,1000,490,0.002970
Main,1000,500,0.002970
Main,1000,510,0.002976
Main,1000,520,0.002964
Main,1000,530,0.003646
Main,1000,540,0.002970
Main,1000,550,0.002982
Main,1000,560,0.002976
Main,1000,570,0.002987
Main,1000,580,0.002976
Main,1000,590,0.002952
Main,1000,600,0.002940
Main,1000,610,0.002934
Main,1000,620,0.002930
Main,1000,630,0.002941
Main,1000,640,0.002958
Main,1000,650,0.002948
Main,1000,660,0.002945
Main,1000,670,0.002945
Main,1000,680,0.002914
Main,1000,690,0.002889
Main,1000,700,0.002870
Main,1000,710,0.002862
Main,1000,720,0.002868
Main,1000,730,0.003021
Main,1000,740,0.002877
Main,1000,750,0.002869
Main,1000,760,0.002870
Main,1000,770,0.002856
Main,1000,780,0.002820
Main,1000,790,0.002778
Main,1000,800,0.002775
Main,1000,810,0.002785
Main,1000,820,0.002758
Main,1000,830,0.002740
Main,1000,840,0.002718
Main,1000,850,0.002701
Main,1000,860,0.002661
Main,1000,870,0.002630
Main,1000,880,0.002639
Main,1000,890,0.002614
Main,1000,900,0.002603
Main,1000,910,0.002577
Main,1000,920,0.002601
Main,1000,930,0.002562
Main,1000,940,0.002513
Main,1000,950,0.002449
Main,1000,960,0.002381
