Function,Total Number,N,Execution Time
Main,900,390,0.001264,
Main,900,400,0.002627,
Main,900,410,0.001255,
Main,900,420,0.001253,
Main,900,430,0.001260,
Main,900,440,0.001302,
Main,900,450,0.001265,
Main,900,460,0.010520,
Main,900,470,0.004919,
Main,900,480,0.001236,
Main,900,490,0.001259,
Main,900,500,0.001282,
Main,900,510,0.001275,
Main,900,520,0.001238,
Main,900,530,0.001249,
Main,900,540,0.001254,
Main,900,550,0.001236,
Main,900,560,0.001289,
Main,900,570,0.002879,
Main,900,580,0.002703,
Main,900,590,0.001272,
Main,900,600,0.001285,
Main,900,610,0.004921,
Main,900,620,0.001244,
Main,900,630,0.001260,
Main,900,640,0.001235,
Main,900,650,0.009388,
Main,900,660,0.001253,
Main,900,670,0.005005,
Main,900,680,0.006544,
Main,900,690,0.002680,
Main,900,700,0.001207,
Main,900,710,0.001206,
Main,900,720,0.001209,
Main,900,730,0.001273,
Main,900,740,0.001197,
Main,900,750,0.001238,
Main,900,760,0.001202,
Main,900,770,0.001174,
Main,900,780,0.011200,
Main,900,790,0.001152,
Main,900,800,0.001198,
Main,900,810,0.001160,
Main,900,820,0.001160,
Main,900,830,0.002764,
Main,900,840,0.002604,
Main,900,850,0.002501,
Main,900,860,0.001129,
Main,900,870,0.002549,
Main,900,880,0.002749,
Main,900,890,0.002550,
Main,900,900,0.001071,
EC2,1000,10,0.006969,
EC2,1000,20,0.007008,
EC2,1000,30,0.003529,
EC2,1000,40,0.001099,
EC2,1000,50,0.004475,
EC2,1000,60,0.001581,
EC2,1000,70,0.001808,
EC2,1000,80,0.002070,
EC2,1000,90,0.002408,
EC2,1000,100,0.002797,
EC2,1000,110,0.003070,
EC2,1000,120,0.004488,
EC2,1000,130,0.005250,
EC2,1000,140,0.004244,
EC2,1000,150,0.004689,
EC2,1000,160,0.005088,
EC2,1000,170,0.009978,
EC2,1000,180,0.005967,
EC2,1000,190,0.006497,
EC2,1000,200,0.007010,
EC2,1000,210,0.013506,
EC2,1000,220,0.007977,
EC2,1000,230,0.008478,
EC2,1000,240,0.008975,
EC2,1000,250,0.010849,
EC2,1000,260,0.009989,
EC2,1000,270,0.011803,
EC2,1000,280,0.012296,
EC2,1000,290,0.011794,
EC2,1000,300,0.016929,
EC2,1000,310,0.019939,
EC2,1000,320,0.013030,
EC2,1000,330,0.013620,
EC2,1000,340,0.014157,
EC2,1000,350,0.016059,
EC2,1000,360,0.018541,
EC2,1000,370,0.024184,
EC2,1000,380,0.028829,
EC2,1000,390,0.020500,
EC2,1000,400,0.018638,
EC2,1000,410,0.019104,
EC2,1000,420,0.028040,
EC2,1000,430,0.029710,
EC2,1000,440,0.020715,
EC2,1000,450,0.020029,
EC2,1000,460,0.020778,
EC2,1000,470,0.030884,
EC2,1000,480,0.021521,
EC2,1000,490,0.031584,
EC2,1000,500,0.034248,
EC2,1000,510,0.033587,
EC2,1000,520,0.035545,
